OBJECT_NAME,MEAN_MOTION,NORAD_CAT_ID,SEMIMAJOR_AXIS,PERIOD,OBJECT_TYPE,RCS_SIZE,AVG_ALTITUDE,Clusters
FENGYUN 1C DEB,14.11668242,30562,7231.806,102.007,DEBRIS,SMALL,861.806,0
COSMOS 1408 DEB,13.94588331,50405,7290.732,103.256,DEBRIS,SMALL,920.732,0
COSMOS 397 DEB,13.99550189,5012,7273.49,102.89,DEBRIS,SMALL,903.49,0
COSMOS 1408 DEB,14.01026122,50404,7268.381,102.782,DEBRIS,SMALL,898.381,0
FENGYUN 1C DEB,14.01098713,30416,7268.13,102.776,DEBRIS,SMALL,898.13,0
FENGYUN 1C DEB,14.09543717,30464,7239.071,102.161,DEBRIS,SMALL,869.071,0
FENGYUN 1C DEB,14.04434156,30622,7256.618,102.532,DEBRIS,SMALL,886.618,0
COSMOS 2251 DEB,13.92097872,34346,7299.425,103.441,DEBRIS,SMALL,929.425,0
FENGYUN 1C DEB,14.0957425,30625,7238.966,102.159,DEBRIS,SMALL,868.966,0
THORAD AGENA D DEB,14.14276342,4912,7222.912,101.819,DEBRIS,SMALL,852.912,0
FENGYUN 1C DEB,14.14062504,30120,7223.64,101.834,DEBRIS,SMALL,853.64,0
FENGYUN 1C DEB,14.11042712,30119,7233.943,102.052,DEBRIS,SMALL,863.943,0
THORAD AGENA D DEB,14.20307459,4911,7202.45,101.386,DEBRIS,SMALL,832.45,0
FENGYUN 1C DEB,14.04309424,30118,7257.048,102.542,DEBRIS,SMALL,887.048,0
FENGYUN 1C DEB,14.05455856,30117,7253.101,102.458,DEBRIS,SMALL,883.101,0
FENGYUN 1C DEB,14.16059632,30116,7216.847,101.691,DEBRIS,SMALL,846.847,0
FENGYUN 1C DEB,14.12268651,30115,7229.756,101.964,DEBRIS,SMALL,859.756,0
FENGYUN 1C DEB,14.08113941,30114,7243.97,102.264,DEBRIS,SMALL,873.97,0
FENGYUN 1C DEB,14.15187942,30112,7219.81,101.753,DEBRIS,SMALL,849.81,0
FENGYUN 1C DEB,14.13999206,30109,7223.856,101.839,DEBRIS,SMALL,853.856,0
FENGYUN 1C DEB,14.14198281,30108,7223.178,101.824,DEBRIS,SMALL,853.178,0
FENGYUN 1C DEB,14.13610341,30107,7225.18,101.867,DEBRIS,SMALL,855.18,0
FENGYUN 1C DEB,14.17375617,30105,7212.379,101.596,DEBRIS,SMALL,842.379,0
FENGYUN 1C DEB,14.2003931,30104,7203.357,101.406,DEBRIS,SMALL,833.357,0
FENGYUN 1C DEB,14.19989249,30103,7203.526,101.409,DEBRIS,SMALL,833.526,0
METEOR 1-14,14.0762982,6392,7245.631,102.3,PAYLOAD,LARGE,875.631,0
